phi	max amplitudes
0	0.10215668
5	0.10416359
10	0.1045867469999999
15	0.1005070799999999
20	0.09356513
25	0.0871770499999999
30	0.07879689
35	0.06997627
40	0.0599082499999999
45	0.0499266099999999
50	0.0403208749999999
55	0.03113098
60	0.0231605349999999
65	0.0160248299999999
70	0.01045075
75	0.005816025
80	0.0026849549999999
85	0.0007013999999999
90	6.679999999997799e-05
95	0.0008184999999999
100	0.0026850199999999
105	0.0058158249999999
110	0.010450765
115	0.01602488
120	0.0231601
125	0.03113093
130	0.0403205799999999
135	0.0499278899999999
140	0.05990145
145	0.0699766199999999
150	0.078980765
155	0.0873345649999999
160	0.0935694
165	0.10050543
170	0.104581822
175	0.1041714639999999
180	0.1017993349999999
185	0.1042557405
190	0.1048239649999999
195	0.10051337
200	0.0935920349999999
205	0.08731897
210	0.0789332249999999
215	0.06998458
220	0.059905025
225	0.0499196
230	0.0403082
235	0.0311268
240	0.0231624249999999
245	0.0160236299999999
250	0.01045185
255	0.0058152499999999
260	0.002684865
265	0.00070133
270	6.67499999999488e-05
275	0.0007232799999999
280	0.002684965
285	0.0058152149999999
290	0.0104518
295	0.0160236
300	0.0231620999999999
305	0.031127075
310	0.0403079849999999
315	0.0499219499999999
320	0.0598985249999999
325	0.06998438
330	0.0789349099999999
335	0.0873202199999999
340	0.093592345
345	0.10051506
350	0.1048233
355	0.104173986
360	0.1018467899999999
